Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
"#BO:CW Colt XM177E1 Commando ""XM4""								",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_trig_pull_npc			skye_ports\t9_xm4\fire\wpn_t9_xm4_trig_pull5.wav			wpn_t9_shot_npc		wpn_t9_xm4_mech_npc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_trig_pull_npc			skye_ports\t9_xm4\fire\wpn_t9_xm4_trig_pull6.wav			wpn_t9_shot_npc		wpn_t9_xm4_mech_npc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_mech_plr			skye_ports\t9_xm4\fire\wpn_t9_xm4_mech1.wav			wpn_t9_shot_plr		wpn_t9_xm4_sub_plr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_mech_plr			skye_ports\t9_xm4\fire\wpn_t9_xm4_mech2.wav			wpn_t9_shot_plr		wpn_t9_xm4_sub_plr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_mech_plr			skye_ports\t9_xm4\fire\wpn_t9_xm4_mech3.wav			wpn_t9_shot_plr		wpn_t9_xm4_sub_plr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_mech_plr			skye_ports\t9_xm4\fire\wpn_t9_xm4_mech4.wav			wpn_t9_shot_plr		wpn_t9_xm4_sub_plr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_mech_plr			skye_ports\t9_xm4\fire\wpn_t9_xm4_mech5.wav			wpn_t9_shot_plr		wpn_t9_xm4_sub_plr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_mech_plr			skye_ports\t9_xm4\fire\wpn_t9_xm4_mech6.wav			wpn_t9_shot_plr		wpn_t9_xm4_sub_plr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_mech_npc			skye_ports\t9_xm4\fire\wpn_t9_xm4_mech1.wav			wpn_t9_shot_npc		wpn_t9_xm4_sub_npc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_mech_npc			skye_ports\t9_xm4\fire\wpn_t9_xm4_mech2.wav			wpn_t9_shot_npc		wpn_t9_xm4_sub_npc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_mech_npc			skye_ports\t9_xm4\fire\wpn_t9_xm4_mech3.wav			wpn_t9_shot_npc		wpn_t9_xm4_sub_npc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_mech_npc			skye_ports\t9_xm4\fire\wpn_t9_xm4_mech4.wav			wpn_t9_shot_npc		wpn_t9_xm4_sub_npc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_mech_npc			skye_ports\t9_xm4\fire\wpn_t9_xm4_mech5.wav			wpn_t9_shot_npc		wpn_t9_xm4_sub_npc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_mech_npc			skye_ports\t9_xm4\fire\wpn_t9_xm4_mech6.wav			wpn_t9_shot_npc		wpn_t9_xm4_sub_npc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_sub_plr			skye_ports\t9_xm4\fire\wpn_t9_xm4_sub.wav			wpn_t9_shot_plr		wpn_t9_xm4_tail_plr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_sub_npc			skye_ports\t9_xm4\fire\wpn_t9_xm4_sub.wav			wpn_t9_shot_npc		wpn_t9_xm4_tail_npc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_tail_plr			skye_ports\t5_commando\fire\wpn_t5_commando_tail.wav			wpn_t9_reverb_ext_plr		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_tail_npc			skye_ports\t5_commando\fire\wpn_t5_commando_tail.wav			wpn_t9_reverb_ext_npc		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_tail_plr			skye_ports\t5_commando\fire\wpn_t5_commando_tail.wav			wpn_t9_reverb_int_plr		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_tail_npc			skye_ports\t5_commando\fire\wpn_t5_commando_tail.wav			wpn_t9_reverb_int_npc		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_pap_flux_plr			skye_ports\t9_xm4\fire\wpn_t9_xm4_pap_flux.wav			wpn_t9_pap_shot_plr		wpn_t9_xm4_trig_pull_plr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_pap_flux_npc			skye_ports\t9_xm4\fire\wpn_t9_xm4_pap_flux.wav			wpn_t9_pap_shot_npc		wpn_t9_xm4_trig_pull_npc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_bolt_back			skye_ports\t9_xm4\foley\wpn_t9_xm4_bolt_back.wav			wpn_t9_reload_plr		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_bolt_forward			skye_ports\t9_xm4\foley\wpn_t9_xm4_bolt_forward.wav			wpn_t9_reload_plr		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_dualmag_inspect_part1			skye_ports\t9_xm4\foley\wpn_t9_xm4_dualmag_inspect_part1.wav			wpn_t9_reload_plr		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_dualmag_inspect_part2			skye_ports\t9_xm4\foley\wpn_t9_xm4_dualmag_inspect_part2.wav			wpn_t9_reload_plr		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_dualmag_inspect_part3			skye_ports\t9_xm4\foley\wpn_t9_xm4_dualmag_inspect_part3.wav			wpn_t9_reload_plr		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_dualmag_inspect_part4			skye_ports\t9_xm4\foley\wpn_t9_xm4_dualmag_inspect_part4.wav			wpn_t9_reload_plr		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_dualmag_inspect_part5			skye_ports\t9_xm4\foley\wpn_t9_xm4_dualmag_inspect_part5.wav			wpn_t9_reload_plr		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_dualmag_inspect_part6			skye_ports\t9_xm4\foley\wpn_t9_xm4_dualmag_inspect_part6.wav			wpn_t9_reload_plr		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_empty_mag_hit			skye_ports\t9_xm4\foley\wpn_t9_xm4_empty_mag_hit.wav			wpn_t9_reload_plr		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_empty_mag_in			skye_ports\t5_commando\foley\wpn_t5_commando_mag_in.wav			wpn_t9_reload_plr		wpn_t5_commando_futz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_empty_mag_out			skye_ports\t5_commando\foley\wpn_t5_commando_mag_out.wav			wpn_t9_reload_plr		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_end			skye_ports\t9_xm4\foley\wpn_t9_xm4_end.wav			wpn_t9_reload_plr		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_first_raise_start			skye_ports\t9_xm4\foley\wpn_t9_xm4_first_raise_start.wav			wpn_t9_reload_plr		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_inspect_part1			skye_ports\t9_xm4\foley\wpn_t9_xm4_inspect_part1.wav			wpn_t9_reload_plr		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wpn_t9_xm4_inspect_part2			skye_ports\t9_xm4\foley\wpn_t9_xm4_inspect_part2.wav			wpn_t9_reload_plr		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
